strain	aligned_row	date	conc	embryoID	channel	intensity	normalized_intensity
wNT002	-166	220914	0uM	09	ch2	4927.8379	0.873102918731772
wNT002	-165	220914	0uM	09	ch2	4955.0391	0.877922364418694
wNT002	-164	220914	0uM	09	ch2	4944.1055	0.875985174465217
wNT002	-163	220914	0uM	09	ch2	4942.7622	0.875747171678897
wNT002	-162	220914	0uM	09	ch2	4938.8066	0.875046327622047
wNT002	-161	220914	0uM	09	ch2	4930.8765	0.873641290850071
wNT002	-160	220914	0uM	09	ch2	4952.146	0.877409771653785
wNT002	-159	220914	0uM	09	ch2	5010.3037	0.887714018393867
wNT002	-158	220914	0uM	09	ch2	5119.6816	0.907093341673708
wNT002	-157	220914	0uM	09	ch2	5234.3115	0.92740320216322
wNT002	-156	220914	0uM	09	ch2	5364.9639	0.950551892135208
wNT002	-155	220914	0uM	09	ch2	5454.4717	0.966410677065869
wNT002	-154	220914	0uM	09	ch2	5454.7646	0.966462572410255
wNT002	-153	220914	0uM	09	ch2	5358.9956	0.949494442548673
wNT002	-152	220914	0uM	09	ch2	5241.7959	0.928729270840308
wNT002	-151	220914	0uM	09	ch2	5185.7715	0.918802997258907
wNT002	-150	220914	0uM	09	ch2	5212.6299	0.923561706434886
wNT002	-149	220914	0uM	09	ch2	5253.8638	0.93086743344362
wNT002	-148	220914	0uM	09	ch2	5309.5151	0.940727602030176
wNT002	-147	220914	0uM	09	ch2	5276.5073	0.934879356388631
wNT002	-146	220914	0uM	09	ch2	5202.5923	0.921783267688542
wNT002	-145	220914	0uM	09	ch2	5184.7729	0.918626067621135
wNT002	-144	220914	0uM	09	ch2	5213.9258	0.923791310998864
wNT002	-143	220914	0uM	09	ch2	5262.2026	0.932344882736082
wNT002	-142	220914	0uM	09	ch2	5232.1802	0.927025583359913
wNT002	-141	220914	0uM	09	ch2	5106.4927	0.904756562883793
wNT002	-140	220914	0uM	09	ch2	4975.7812	0.881597401710531
wNT002	-139	220914	0uM	09	ch2	4923.0791	0.872259765557099
wNT002	-138	220914	0uM	09	ch2	4910.6646	0.870060193167634
wNT002	-137	220914	0uM	09	ch2	4939.5977	0.875186492889863
wNT002	-136	220914	0uM	09	ch2	4958.0566	0.878456998087808
wNT002	-135	220914	0uM	09	ch2	5023.6948	0.890086622512
wNT002	-134	220914	0uM	09	ch2	5086.106	0.90114449454175
wNT002	-133	220914	0uM	09	ch2	5180.7666	0.917916240655578
wNT002	-132	220914	0uM	09	ch2	5302.8057	0.939538846060151
wNT002	-131	220914	0uM	09	ch2	5356.6313	0.949075541344403
wNT002	-130	220914	0uM	09	ch2	5330.5967	0.94446279114659
wNT002	-129	220914	0uM	09	ch2	5255.2847	0.931119185218415
wNT002	-128	220914	0uM	09	ch2	5081.6294	0.900351340910216
wNT002	-127	220914	0uM	09	ch2	4964.5479	0.879607111604399
wNT002	-126	220914	0uM	09	ch2	4960.8882	0.878958694424995
wNT002	-125	220914	0uM	09	ch2	5031.249	0.891425058191608
wNT002	-124	220914	0uM	09	ch2	5069.7476	0.898246151074368
wNT002	-123	220914	0uM	09	ch2	5025.8354	0.890465889067792
wNT002	-122	220914	0uM	09	ch2	4932.2646	0.873887231196748
wNT002	-121	220914	0uM	09	ch2	4881.2261	0.864844347842632
wNT002	-120	220914	0uM	09	ch2	4879.4619	0.86453177096805
wNT002	-119	220914	0uM	09	ch2	4913.5283	0.870567576908559
wNT002	-118	220914	0uM	09	ch2	4893.2593	0.866976362380221
wNT002	-117	220914	0uM	09	ch2	4810.0669	0.852236525411091
wNT002	-116	220914	0uM	09	ch2	4804.9268	0.851325814384542
wNT002	-115	220914	0uM	09	ch2	4947.4741	0.876582015220072
wNT002	-114	220914	0uM	09	ch2	5180.1602	0.917808800106465
wNT002	-113	220914	0uM	09	ch2	5371.2197	0.951660280306621
wNT002	-112	220914	0uM	09	ch2	5369.0723	0.95127980894256
wNT002	-111	220914	0uM	09	ch2	5223.4727	0.925482808654426
wNT002	-110	220914	0uM	09	ch2	5103.2915	0.904189381673663
wNT002	-109	220914	0uM	09	ch2	5070.686	0.89841241461541
wNT002	-108	220914	0uM	09	ch2	5211.1196	0.923294114974915
wNT002	-107	220914	0uM	09	ch2	5457.2783	0.966907943960893
wNT002	-106	220914	0uM	09	ch2	5746.0483	1.01807154450104
wNT002	-105	220914	0uM	09	ch2	5876.6401	1.04120949750522
wNT002	-104	220914	0uM	09	ch2	5697.7256	1.00950984030801
wNT002	-103	220914	0uM	09	ch2	5415.7886	0.959556894899943
wNT002	-102	220914	0uM	09	ch2	5117.9019	0.906778018544985
wNT002	-101	220914	0uM	09	ch2	5019.3105	0.889309822380933
wNT002	-100	220914	0uM	09	ch2	5152.0781	0.912833278595475
wNT002	-99	220914	0uM	09	ch2	5400.75	0.956892390543248
wNT002	-98	220914	0uM	09	ch2	5609.9644	0.993960513924643
wNT002	-97	220914	0uM	09	ch2	5562.9058	0.98562278004516
wNT002	-96	220914	0uM	09	ch2	5249.3809	0.930073163592661
wNT002	-95	220914	0uM	09	ch2	4944.7534	0.876099967888321
wNT002	-94	220914	0uM	09	ch2	4811.0483	0.852410407592654
wNT002	-93	220914	0uM	09	ch2	4869.2314	0.862719154645974
wNT002	-92	220914	0uM	09	ch2	5104.3643	0.904379457895776
wNT002	-91	220914	0uM	09	ch2	5397.7988	0.956369503754751
wNT002	-90	220914	0uM	09	ch2	5652.9453	1.00157577035175
wNT002	-89	220914	0uM	09	ch2	5710.062	1.01169557512015
wNT002	-88	220914	0uM	09	ch2	5592.1685	0.99080747753287
wNT002	-87	220914	0uM	09	ch2	5450.5796	0.965721083792114
wNT002	-86	220914	0uM	09	ch2	5359.0591	0.949505693331768
wNT002	-85	220914	0uM	09	ch2	5337.2412	0.945640048284759
wNT002	-84	220914	0uM	09	ch2	5316.5591	0.941975641654114
wNT002	-83	220914	0uM	09	ch2	5215.9429	0.92414869611037
wNT002	-82	220914	0uM	09	ch2	5104.9346	0.904480502330406
wNT002	-81	220914	0uM	09	ch2	5047.7969	0.894356976830587
wNT002	-80	220914	0uM	09	ch2	5103.9404	0.904304352274454
wNT002	-79	220914	0uM	09	ch2	5195.2964	0.920490597005366
wNT002	-78	220914	0uM	09	ch2	5246.3389	0.929534189070228
wNT002	-77	220914	0uM	09	ch2	5285.4482	0.936463484366154
wNT002	-76	220914	0uM	09	ch2	5276.2173	0.934827974859536
wNT002	-75	220914	0uM	09	ch2	5161.0029	0.914414554012245
wNT002	-74	220914	0uM	09	ch2	5019.0381	0.889261559179121
wNT002	-73	220914	0uM	09	ch2	4956.5801	0.878195395233642
wNT002	-72	220914	0uM	09	ch2	5038.043	0.892628803393913
wNT002	-71	220914	0uM	09	ch2	5134.249	0.909674359904509
wNT002	-70	220914	0uM	09	ch2	5206.0327	0.92239282980129
wNT002	-69	220914	0uM	09	ch2	5266.7305	0.933147125582935
wNT002	-68	220914	0uM	09	ch2	5257.2363	0.931464965191453
wNT002	-67	220914	0uM	09	ch2	5175.582	0.916997645221979
wNT002	-66	220914	0uM	09	ch2	5118.1338	0.906819106050492
wNT002	-65	220914	0uM	09	ch2	5082.0967	0.900434136043133
wNT002	-64	220914	0uM	09	ch2	5116.9956	0.90661744240768
wNT002	-63	220914	0uM	09	ch2	5146.9316	0.911921433631733
wNT002	-62	220914	0uM	09	ch2	5161.6216	0.914524173846903
wNT002	-61	220914	0uM	09	ch2	5184.1387	0.918513701532336
wNT002	-60	220914	0uM	09	ch2	5208.1016	0.922759392716958
wNT002	-59	220914	0uM	09	ch2	5287.1226	0.936760150684485
wNT002	-58	220914	0uM	09	ch2	5423.6655	0.960952505818995
wNT002	-57	220914	0uM	09	ch2	5484.5801	0.97174521372308
wNT002	-56	220914	0uM	09	ch2	5381.3438	0.95345404492285
wNT002	-55	220914	0uM	09	ch2	5203.8394	0.922004225981417
wNT002	-54	220914	0uM	09	ch2	5060.6392	0.89663234583435
wNT002	-53	220914	0uM	09	ch2	5001.645	0.886179889959484
wNT002	-52	220914	0uM	09	ch2	5002.4458	0.88632177385086
wNT002	-51	220914	0uM	09	ch2	5016.1909	0.888757098870025
wNT002	-50	220914	0uM	09	ch2	4985.9019	0.883390563922626
wNT002	-49	220914	0uM	09	ch2	4984.8535	0.883204810836065
wNT002	-48	220914	0uM	09	ch2	5073.8906	0.898980198229674
wNT002	-47	220914	0uM	09	ch2	5188.0454	0.919205881600315
wNT002	-46	220914	0uM	09	ch2	5202.7192	0.921805751536963
wNT002	-45	220914	0uM	09	ch2	5113.7979	0.906050881319454
wNT002	-44	220914	0uM	09	ch2	5053.5054	0.895368395654161
wNT002	-43	220914	0uM	09	ch2	5051.0527	0.894933831942402
wNT002	-42	220914	0uM	09	ch2	5148.3657	0.91217552415199
wNT002	-41	220914	0uM	09	ch2	5337.77	0.945733739845398
wNT002	-40	220914	0uM	09	ch2	5538.624	0.981320586896302
wNT002	-39	220914	0uM	09	ch2	5673.416	1.00520272161946
wNT002	-38	220914	0uM	09	ch2	5773.3618	1.02291088724215
wNT002	-37	220914	0uM	09	ch2	5803.396	1.02823227731502
wNT002	-36	220914	0uM	09	ch2	5764.8882	1.02140955439755
wNT002	-35	220914	0uM	09	ch2	5713.2241	1.01225582868274
wNT002	-34	220914	0uM	09	ch2	5567.7485	0.986480798427733
wNT002	-33	220914	0uM	09	ch2	5410.6509	0.958646609099842
wNT002	-32	220914	0uM	09	ch2	5307.9624	0.940452498236296
wNT002	-31	220914	0uM	09	ch2	5234.8569	0.927499834873455
wNT002	-30	220914	0uM	09	ch2	5221.6143	0.925153541641773
wNT002	-29	220914	0uM	09	ch2	5249.9141	0.930167634735121
wNT002	-28	220914	0uM	09	ch2	5329.9751	0.944352657496641
