strain	date	conc	channel	embryo_names
wNT002	220914	0uM	ch1	09, 10, 11, 15, 16, 18
wNT002	220914	0uM	ch2	09, 10, 11, 15, 16, 18
wNT002	220914	150uM	ch1	25
wNT002	220914	150uM	ch2	25
wNT002	230210	150uM	ch1	06, 07, 08, 09, 11
wNT002	230210	150uM	ch2	06, 07, 08, 09, 11
wNT002	231112	0uM	ch1	04, 05, 06, 07
wNT002	231112	0uM	ch2	04, 05, 06, 07
wNT002	231112	150uM	ch1	02, 03, 04, 05, 06, 07, 08, 09
wNT002	231112	150uM	ch2	02, 03, 04, 05, 06, 07, 08, 09
wNT002	231114	150uM	ch1	02, 03
wNT002	231114	150uM	ch2	02, 03
