Image ID,set 3_mRNA total molecules,erm 1_mRNA total molecules,Image_ID,subdirectory
220902_LP306_dhc-1_RNAi_12,737,2406,total_mRNA_counts_220902_LP306_dhc-1_RNAi_12.csv,DHC-1
220902_LP306_dhc-1_RNAi_13,255,1479,total_mRNA_counts_220902_LP306_dhc-1_RNAi_13.csv,DHC-1
220902_LP306_dhc-1_RNAi_14,604,2839,total_mRNA_counts_220902_LP306_dhc-1_RNAi_14.csv,DHC-1
220902_LP306_dhc-1_RNAi_15,340,1863,total_mRNA_counts_220902_LP306_dhc-1_RNAi_15.csv,DHC-1
220902_LP306_dhc-1_RNAi_16,875,2384,total_mRNA_counts_220902_LP306_dhc-1_RNAi_16.csv,DHC-1
220902_LP306_dhc-1_RNAi_17,2080,1317,total_mRNA_counts_220902_LP306_dhc-1_RNAi_17.csv,DHC-1
220911_LP306_dhc-1_RNAi_01,164,1531,total_mRNA_counts_220911_LP306_dhc-1_RNAi_01.csv,DHC-1
220911_LP306_dhc-1_RNAi_02,421,2139,total_mRNA_counts_220911_LP306_dhc-1_RNAi_02.csv,DHC-1
220911_LP306_dhc-1_RNAi_03,401,1912,total_mRNA_counts_220911_LP306_dhc-1_RNAi_03.csv,DHC-1
220911_LP306_dhc-1_RNAi_04,332,1885,total_mRNA_counts_220911_LP306_dhc-1_RNAi_04.csv,DHC-1
220911_LP306_dhc-1_RNAi_05,350,1613,total_mRNA_counts_220911_LP306_dhc-1_RNAi_05.csv,DHC-1
220911_LP306_dhc-1_RNAi_07,804,2696,total_mRNA_counts_220911_LP306_dhc-1_RNAi_07.csv,DHC-1
220911_LP306_dhc-1_RNAi_08,255,1204,total_mRNA_counts_220911_LP306_dhc-1_RNAi_08.csv,DHC-1
220911_LP306_dhc-1_RNAi_09,311,1674,total_mRNA_counts_220911_LP306_dhc-1_RNAi_09.csv,DHC-1
220911_LP306_dhc-1_RNAi_10,532,2900,total_mRNA_counts_220911_LP306_dhc-1_RNAi_10.csv,DHC-1
220911_LP306_dhc-1_RNAi_11,385,2455,total_mRNA_counts_220911_LP306_dhc-1_RNAi_11.csv,DHC-1
220911_LP306_dhc-1_RNAi_12,128,1576,total_mRNA_counts_220911_LP306_dhc-1_RNAi_12.csv,DHC-1
220911_LP306_dhc-1_RNAi_13,487,1903,total_mRNA_counts_220911_LP306_dhc-1_RNAi_13.csv,DHC-1
220911_LP306_dhc-1_RNAi_14,532,1884,total_mRNA_counts_220911_LP306_dhc-1_RNAi_14.csv,DHC-1
220911_LP306_dhc-1_RNAi_15,0,0,total_mRNA_counts_220911_LP306_dhc-1_RNAi_15.csv,DHC-1
220911_LP306_dhc-1_RNAi_16,349,1240,total_mRNA_counts_220911_LP306_dhc-1_RNAi_16.csv,DHC-1
220911_LP306_dhc-1_RNAi_17,205,1631,total_mRNA_counts_220911_LP306_dhc-1_RNAi_17.csv,DHC-1
220911_LP306_dhc-1_RNAi_19,838,2140,total_mRNA_counts_220911_LP306_dhc-1_RNAi_19.csv,DHC-1
220911_LP306_dhc-1_RNAi_20,504,1447,total_mRNA_counts_220911_LP306_dhc-1_RNAi_20.csv,DHC-1
220911_LP306_dhc-1_RNAi_21,838,3414,total_mRNA_counts_220911_LP306_dhc-1_RNAi_21.csv,DHC-1
220911_LP306_dhc-1_RNAi_23,254,1371,total_mRNA_counts_220911_LP306_dhc-1_RNAi_23.csv,DHC-1
220911_LP306_dhc-1_RNAi_24,299,1659,total_mRNA_counts_220911_LP306_dhc-1_RNAi_24.csv,DHC-1
220911_LP306_dhc-1_RNAi_25,191,1336,total_mRNA_counts_220911_LP306_dhc-1_RNAi_25.csv,DHC-1
220911_LP306_dhc-1_RNAi_26,292,1575,total_mRNA_counts_220911_LP306_dhc-1_RNAi_26.csv,DHC-1
220922_LP306_dhc-1_rnai_25,244,1701,total_mRNA_counts_220922_LP306_dhc-1_rnai_25.csv,DHC-1
220922_LP306_dhc-1_rnai_27,431,1956,total_mRNA_counts_220922_LP306_dhc-1_rnai_27.csv,DHC-1
220922_LP306_dhc-1_rnai_28,864,2100,total_mRNA_counts_220922_LP306_dhc-1_rnai_28.csv,DHC-1
220922_LP306_dhc-1_rnai_29,913,3128,total_mRNA_counts_220922_LP306_dhc-1_rnai_29.csv,DHC-1
220922_LP306_dhc-1_rnai_30,791,2656,total_mRNA_counts_220922_LP306_dhc-1_rnai_30.csv,DHC-1
220922_LP306_dhc-1_rnai_31,944,2878,total_mRNA_counts_220922_LP306_dhc-1_rnai_31.csv,DHC-1
220922_LP306_dhc-1_rnai_32,546,1872,total_mRNA_counts_220922_LP306_dhc-1_rnai_32.csv,DHC-1
220922_LP306_dhc-1_rnai_33,912,2682,total_mRNA_counts_220922_LP306_dhc-1_rnai_33.csv,DHC-1
220922_LP306_dhc-1_rnai_34,444,2055,total_mRNA_counts_220922_LP306_dhc-1_rnai_34.csv,DHC-1
220922_LP306_dhc-1_rnai_36,533,1874,total_mRNA_counts_220922_LP306_dhc-1_rnai_36.csv,DHC-1
220922_LP306_dhc-1_rnai_37,649,1762,total_mRNA_counts_220922_LP306_dhc-1_rnai_37.csv,DHC-1
220922_LP306_dhc-1_rnai_38,665,2207,total_mRNA_counts_220922_LP306_dhc-1_rnai_38.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_02,1209,4113,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_02.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_03,497,3087,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_03.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_04,444,3155,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_04.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_05,0,0,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_05.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_07,802,2864,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_07.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_09,716,3146,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_09.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_10,426,2518,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_10.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_13,1023,2365,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_13.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_14,996,2794,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_14.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_15,669,2323,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_15.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_16,1066,3483,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_16.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_17,197,1427,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_17.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_19,610,1999,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_19.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_20,511,1026,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_20.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_21,169,1828,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_21.csv,DHC-1
220922_LP306_dhc-1_rnai_rep3_22,434,2313,total_mRNA_counts_220922_LP306_dhc-1_rnai_rep3_22.csv,DHC-1
230828_L4440_RNAi_01,2927,4005,total_mRNA_counts_230828_L4440_RNAi_01.csv,L4440
230828_L4440_RNAi_02,1449,3550,total_mRNA_counts_230828_L4440_RNAi_02.csv,L4440
230828_L4440_RNAi_03,363,3232,total_mRNA_counts_230828_L4440_RNAi_03.csv,L4440
230828_L4440_RNAi_04,1074,3063,total_mRNA_counts_230828_L4440_RNAi_04.csv,L4440
230828_L4440_RNAi_05,1067,3121,total_mRNA_counts_230828_L4440_RNAi_05.csv,L4440
230828_L4440_RNAi_06,1156,3287,total_mRNA_counts_230828_L4440_RNAi_06.csv,L4440
230828_L4440_RNAi_07,742,2125,total_mRNA_counts_230828_L4440_RNAi_07.csv,L4440
230828_L4440_RNAi_08,1216,3172,total_mRNA_counts_230828_L4440_RNAi_08.csv,L4440
240122_LP306_L4440_01,1208,3602,total_mRNA_counts_240122_LP306_L4440_01.csv,L4440
240122_LP306_L4440_02,1180,3812,total_mRNA_counts_240122_LP306_L4440_02.csv,L4440
240122_LP306_L4440_03,1039,3078,total_mRNA_counts_240122_LP306_L4440_03.csv,L4440
240122_LP306_L4440_04,1267,3807,total_mRNA_counts_240122_LP306_L4440_04.csv,L4440
240122_LP306_L4440_05,979,3556,total_mRNA_counts_240122_LP306_L4440_05.csv,L4440
240122_LP306_L4440_06,1284,4561,total_mRNA_counts_240122_LP306_L4440_06.csv,L4440
240122_LP306_L4440_07,936,3665,total_mRNA_counts_240122_LP306_L4440_07.csv,L4440
240122_LP306_L4440_09,1296,3674,total_mRNA_counts_240122_LP306_L4440_09.csv,L4440
240122_LP306_L4440_10,1239,3563,total_mRNA_counts_240122_LP306_L4440_10.csv,L4440
240131_L4440_RNAi_01,771,2708,total_mRNA_counts_240131_L4440_RNAi_01.csv,L4440
240131_L4440_RNAi_02,591,2742,total_mRNA_counts_240131_L4440_RNAi_02.csv,L4440
240131_L4440_RNAi_03,930,3615,total_mRNA_counts_240131_L4440_RNAi_03.csv,L4440
240131_L4440_RNAi_04,201,1421,total_mRNA_counts_240131_L4440_RNAi_04.csv,L4440
240131_L4440_RNAi_05,709,3269,total_mRNA_counts_240131_L4440_RNAi_05.csv,L4440
240131_L4440_RNAi_09,583,2828,total_mRNA_counts_240131_L4440_RNAi_09.csv,L4440
