treatment,channel,n,min_log2fc,median_log2fc,mean_log2fc,max_log2fc
L4440,ch1,11,-0.001,0.168,0.176,0.391
erm-1,ch1,11,0.002,0.094,0.102,0.196
klp-9,ch1,12,-0.176,0.151,0.158,0.343
bmk-1,ch1,17,-0.04,0.15,0.173,0.602
klp-18,ch1,17,0.075,0.142,0.139,0.213
klp-19,ch1,15,0.081,0.138,0.148,0.265
unc-116,ch1,15,-0.062,0.137,0.153,0.322
nmy-1,ch1,15,0.017,0.154,0.144,0.267
nmy-2,ch1,17,-0.111,0.154,0.119,0.275
L4440,ch2,11,0.351,0.638,0.636,1.151
erm-1,ch2,11,0.028,0.117,0.108,0.187
klp-9,ch2,12,-0.151,0.12,0.129,0.285
bmk-1,ch2,17,0.003,0.387,0.44,1.072
klp-18,ch2,17,0.196,0.511,0.552,1.034
klp-19,ch2,15,0.271,0.706,0.769,1.289
unc-116,ch2,15,0.366,0.542,0.679,1.345
nmy-1,ch2,15,0.228,0.607,0.629,1.233
nmy-2,ch2,17,0.002,0.41,0.412,0.736
