channel,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
ch1,log2_fc,L4440,erm-1,11,11,82,0.171,0.456,ns
ch1,log2_fc,L4440,klp-9,11,12,70,0.833,0.952,ns
ch1,log2_fc,L4440,bmk-1,11,17,102,0.711,0.9353846153846155,ns
ch1,log2_fc,L4440,klp-18,11,17,112,0.404,0.7182222222222222,ns
ch1,log2_fc,L4440,klp-19,11,15,95,0.54,0.7854545454545455,ns
ch1,log2_fc,L4440,unc-116,11,15,89,0.76,0.9353846153846155,ns
ch1,log2_fc,L4440,nmy-1,11,15,96,0.507,0.7854545454545455,ns
ch1,log2_fc,L4440,nmy-2,11,17,117,0.285,0.57,ns
ch2,log2_fc,L4440,erm-1,11,11,121,2.84e-6,2.272e-5,****
ch2,log2_fc,L4440,klp-9,11,12,132,1.48e-6,2.272e-5,****
ch2,log2_fc,L4440,bmk-1,11,17,139,0.033,0.132,ns
ch2,log2_fc,L4440,klp-18,11,17,117,0.285,0.57,ns
ch2,log2_fc,L4440,klp-19,11,15,53,0.134,0.42880000000000007,ns
ch2,log2_fc,L4440,unc-116,11,15,83,1,1,ns
ch2,log2_fc,L4440,nmy-1,11,15,84,0.959,1,ns
ch2,log2_fc,L4440,nmy-2,11,17,142,0.022,0.11733333333333332,ns
