Image ID,set 3_mRNA total molecules,erm 1_mRNA total molecules,Image_ID,subdirectory
230408_BMk-1_RNAi_LP306_02,568,2488,total_mRNA_counts_230408_BMk-1_RNAi_LP306_02.csv,BMK-1
230408_BMk-1_RNAi_LP306_03,459,1384,total_mRNA_counts_230408_BMk-1_RNAi_LP306_03.csv,BMK-1
230408_BMk-1_RNAi_LP306_04,632,2398,total_mRNA_counts_230408_BMk-1_RNAi_LP306_04.csv,BMK-1
230408_BMk-1_RNAi_LP306_05,1284,4000,total_mRNA_counts_230408_BMk-1_RNAi_LP306_05.csv,BMK-1
230408_BMk-1_RNAi_LP306_06,854,3350,total_mRNA_counts_230408_BMk-1_RNAi_LP306_06.csv,BMK-1
230408_BMk-1_RNAi_LP306_07,1416,4487,total_mRNA_counts_230408_BMk-1_RNAi_LP306_07.csv,BMK-1
230408_BMk-1_RNAi_LP306_08,1359,3719,total_mRNA_counts_230408_BMk-1_RNAi_LP306_08.csv,BMK-1
230408_BMk-1_RNAi_LP306_09,1338,3225,total_mRNA_counts_230408_BMk-1_RNAi_LP306_09.csv,BMK-1
230408_BMk-1_RNAi_LP306_10,715,2504,total_mRNA_counts_230408_BMk-1_RNAi_LP306_10.csv,BMK-1
230408_BMk-1_RNAi_LP306_11,1216,3396,total_mRNA_counts_230408_BMk-1_RNAi_LP306_11.csv,BMK-1
230408_BMk-1_RNAi_LP306_12,1218,2871,total_mRNA_counts_230408_BMk-1_RNAi_LP306_12.csv,BMK-1
230408_BMk-1_RNAi_LP306_13,1073,3309,total_mRNA_counts_230408_BMk-1_RNAi_LP306_13.csv,BMK-1
230408_BMk-1_RNAi_LP306_14,808,1627,total_mRNA_counts_230408_BMk-1_RNAi_LP306_14.csv,BMK-1
230408_BMk-1_RNAi_LP306_15,1000,2933,total_mRNA_counts_230408_BMk-1_RNAi_LP306_15.csv,BMK-1
231107_LP306_BMK-1_01,497,4018,total_mRNA_counts_231107_LP306_BMK-1_01.csv,BMK-1
231107_LP306_BMK-1_03,718,3711,total_mRNA_counts_231107_LP306_BMK-1_03.csv,BMK-1
231107_LP306_BMK-1_05,1109,3045,total_mRNA_counts_231107_LP306_BMK-1_05.csv,BMK-1
231107_LP306_BMK-1_06,1296,2824,total_mRNA_counts_231107_LP306_BMK-1_06.csv,BMK-1
231107_LP306_BMK-1_09,1328,3056,total_mRNA_counts_231107_LP306_BMK-1_09.csv,BMK-1
231107_LP306_BMK-1_10,1329,3318,total_mRNA_counts_231107_LP306_BMK-1_10.csv,BMK-1
231107_LP306_BMK-1_11,1318,3551,total_mRNA_counts_231107_LP306_BMK-1_11.csv,BMK-1
231107_LP306_BMK-1_13,1287,3680,total_mRNA_counts_231107_LP306_BMK-1_13.csv,BMK-1
231113_LP306_BMK-1_01,2002,3451,total_mRNA_counts_231113_LP306_BMK-1_01.csv,BMK-1
231113_LP306_BMK-1_02,788,3442,total_mRNA_counts_231113_LP306_BMK-1_02.csv,BMK-1
231113_LP306_BMK-1_03,765,2816,total_mRNA_counts_231113_LP306_BMK-1_03.csv,BMK-1
231113_LP306_BMK-1_04,687,4402,total_mRNA_counts_231113_LP306_BMK-1_04.csv,BMK-1
231113_LP306_BMK-1_05,916,4108,total_mRNA_counts_231113_LP306_BMK-1_05.csv,BMK-1
231113_LP306_BMK-1_06,1168,4358,total_mRNA_counts_231113_LP306_BMK-1_06.csv,BMK-1
