mRNA,subdirectory,mean,sd,n
set3_mRNA,L4440,1052.4782608695652,518.0766764560503,23
set3_mRNA,KLP-9,1093.7857142857142,446.44289471527964,14
set3_mRNA,BMK-1,1041,353.4057577765671,28
set3_mRNA,KLP-19,1466.6,825.7393656596493,25
set3_mRNA,UNC-116,1306.7272727272727,513.7626076754268,33
erm1_mRNA,L4440,3280.695652173913,647.1620869599972,23
erm1_mRNA,KLP-9,3020.714285714286,805.7640834895523,14
erm1_mRNA,BMK-1,3266.8214285714284,756.7857984324196,28
erm1_mRNA,KLP-19,3599.92,637.7493577678721,25
erm1_mRNA,UNC-116,3732.7272727272725,616.08858295334,33
